Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6727","Cropland organic soils","1998","1998","3050","FAO TIER 1","kilotonnes","1810.0168","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6727","Cropland organic soils","1998","1998","3050","FAO TIER 1","kilotonnes","6636.7281","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6727","Cropland organic soils","1999","1999","3050","FAO TIER 1","ha","94728.7995","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6727","Cropland organic soils","1999","1999","3050","FAO TIER 1","kilotonnes","2.2851","E","Estimated value",""
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6727","Cropland organic soils","1999","1999","3050","FAO TIER 1","kilotonnes","1817.704","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6727","Cropland organic soils","1999","1999","3050","FAO TIER 1","kilotonnes","6664.9146","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6727","Cropland organic soils","2000","2000","3050","FAO TIER 1","ha","94758.7016","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6727","Cropland organic soils","2000","2000","3050","FAO TIER 1","kilotonnes","2.2857","E","Estimated value",""
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6727","Cropland organic soils","2000","2000","3050","FAO TIER 1","kilotonnes","1818.1509","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6727","Cropland organic soils","2000","2000","3050","FAO TIER 1","kilotonnes","6666.5533","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6727","Cropland organic soils","2001","2001","3050","FAO TIER 1","ha","94837.9066","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6727","Cropland organic soils","2001","2001","3050","FAO TIER 1","kilotonnes","2.2875","E","Estimated value",""
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6727","Cropland organic soils","2001","2001","3050","FAO TIER 1","kilotonnes","1819.584","E","Estimated value",""
"GV","Drained organic soils","356","India","7273","Emissions (CO2)","6727","Cropland organic soils","2001","2001","3050","FAO TIER 1","kilotonnes","6671.808","E","Estimated value",""
"GV","Drained organic soils","356","India","5026","Area","6727","Cropland organic soils","2002","2002","3050","FAO TIER 1","ha","94779.9322","E","Estimated value",""
"GV","Drained organic soils","356","India","7230","Emissions (N2O)","6727","Cropland organic soils","2002","2002","3050","FAO TIER 1","kilotonnes","2.286","E","Estimated value",""
"GV","Drained organic soils","356","India","7216","Net stock change (C)","6727","Cropland organic soils","2002","2002","3050","FAO TIER 1","kilotonnes","1818.4245","E","Estimated value",""
