Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1993","1993","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1994","1994","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1995","1995","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1996","1996","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1997","1997","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1998","1998","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","1999","1999","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","2000","2000","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","2001","2001","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","2002","2002","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","2003","2003","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","2004","2004","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","2005","2005","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","2006","2006","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","2007","2007","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","2008","2008","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","2009","2009","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","2010","2010","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","2011","2011","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","2012","2012","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","2013","2013","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","2014","2014","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","2015","2015","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","2016","2016","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","2017","2017","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","2018","2018","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","2019","2019","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","2020","2020","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","6078","Standard Deviation","7002","February","2021","2021","°C","0.808","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7003","March","1961","1961","°C","0.505","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7003","March","1962","1962","°C","-0.551","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7003","March","1963","1963","°C","-0.289","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7003","March","1964","1964","°C","0.913","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7003","March","1965","1965","°C","-0.905","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7003","March","1966","1966","°C","-0.092","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7003","March","1967","1967","°C","-1.095","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7003","March","1968","1968","°C","-0.504","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7003","March","1969","1969","°C","1.321","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7003","March","1970","1970","°C","-0.325","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7003","March","1971","1971","°C","-0.478","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7003","March","1972","1972","°C","0.172","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7003","March","1973","1973","°C","0.253","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7003","March","1974","1974","°C","0.906","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7003","March","1975","1975","°C","-0.241","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7003","March","1976","1976","°C","0.217","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7003","March","1977","1977","°C","1.428","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7003","March","1978","1978","°C","-1.103","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7003","March","1979","1979","°C","-0.658","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7003","March","1980","1980","°C","-0.042","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7003","March","1981","1981","°C","-0.413","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7003","March","1982","1982","°C","-1.041","E","Estimated value"
"ET","Temperature change","356","India","7271","Temperature change","7003","March","1983","1983","°C","-0.339","E","Estimated value"
